f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,label
110,96,6,0,0,0,0,0,0,0,0,0,18,-8,18,-8,20,-6,19,-5,20,-5,18,-4,18,-2,18,-4,19,-2,19,-2,19,-3,19,-2,19,-1,19,0,18,0,19,-1,16,0,17,0,15,1,16,0,16,0,16,0,15,0,15,-1,16,-1,14,-2,0,0,15,-1,15,-2,14,-2,14,-2,13,-1,14,-4,15,-3,13,-3,15,-5,13,-7,12,-5,12,-4,12,-5,12,-5,12,-5,11,-6,12,-7,10,-6,11,-7,10,-7,10,-7,10,-7,11,-8,9,-8,10,-8,10,-9,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-6,17,-6,18,-7,18,-8,19,-9,18,-9,17,-8,16,-10,17,-10,16,-11,15,-11,16,-11,16,-11,15,-12,14,-11,13,-12,15,-10,13,-11,13,-11,13,-10,12,-10,12,-10,12,-10,12,-9,11,-9,13,-8,12,0,0,-9,12,-8,12,-8,12,-6,13,-7,12,-6,12,-7,12,-6,13,-4,13,-6,14,-5,11,-5,12,-5,13,-3,13,-3,11,-3,14,-2,13,-1,12,-2,12,0,11,-2,13,-2,12,-1,13,0,12,0,13,1,13,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-16,-5,-16,-5,-16,-5,-16,-7,-16,-8,-14,-7,-15,-7,-14,-8,-14,-8,-14,-9,-14,-9,-14,-9,-13,-9,-13,-10,-12,-9,-13,-10,-12,-8,-12,-9,-12,-8,-11,-9,-11,-8,-12,-8,-10,-8,-11,-8,-12,-8,-11,-7,0,0,-12,-6,-12,-6,-11,-6,-11,-5,-11,-5,-12,-5,-12,-5,-11,-4,-10,-5,-10,-4,-10,-3,-11,-4,-12,-3,-11,-2,-11,-3,-12,-2,-12,-2,-10,0,-11,0,-11,1,-11,0,-11,-1,-11,0,-11,1,-11,0,-11,1,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,17,9,15,10,16,12,16,13,15,12,13,12,14,12,13,12,12,13,12,14,12,14,12,14,12,15,11,14,10,14,12,14,10,12,10,13,9,13,10,13,9,13,9,12,8,12,9,12,10,13,9,11,0,0,9,11,10,10,11,10,10,9,9,10,10,9,11,10,9,8,12,7,11,6,11,7,10,7,11,7,11,6,11,6,11,5,12,6,11,4,11,4,11,3,11,5,12,4,12,4,12,3,12,3,12,3,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-21,0,-21,0,-21,-1,-21,-3,-21,-2,-20,-4,-20,-3,-19,-4,-19,-5,-19,-5,-20,-5,-20,-6,-19,-6,-19,-7,-18,-7,-19,-6,-17,-6,-16,-6,-16,-6,-16,-6,-16,-6,-16,-6,-15,-6,-15,-5,-16,-5,-15,-5,0,0,-15,-4,-15,-4,-15,-2,-14,-3,-15,-3,-15,-3,-15,-2,-14,-2,-15,0,-12,1,-13,0,-14,0,-14,1,-13,0,-14,2,-13,2,-14,2,-13,3,-13,2,-13,3,-13,2,-13,3,-13,4,-13,5,-13,4,-12,5,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-9,16,-9,16,-10,15,-11,15,-11,15,-11,14,-11,14,-12,13,-13,13,-12,12,-13,12,-13,12,-13,11,-13,11,-13,10,-13,11,-12,10,-12,11,-12,9,-11,9,-11,9,-12,9,-11,8,-11,8,-11,9,-10,9,0,0,-10,10,-10,9,-10,10,-9,10,-9,9,-9,9,-8,10,-7,9,-6,8,-5,8,-7,10,-6,9,-6,10,-6,10,-6,10,-5,11,-5,11,-4,10,-4,10,-3,10,-4,11,-4,11,-3,11,-3,11,-5,12,-2,11,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,13,19,12,20,12,20,13,21,11,21,8,20,9,20,8,20,8,20,7,20,8,21,8,22,7,21,7,20,6,18,7,20,5,19,5,18,5,17,6,17,6,16,6,17,5,15,6,16,7,16,7,16,0,0,8,15,8,15,9,15,8,13,7,12,9,12,9,13,8,12,10,11,10,11,10,13,9,11,10,11,11,11,9,11,10,11,12,10,11,10,11,10,12,9,12,9,12,9,12,8,13,8,12,8,12,7,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,15,-14,13,-13,15,-14,15,-12,16,-12,14,-10,15,-11,14,-11,16,-11,16,-9,17,-9,17,-9,17,-8,17,-7,15,-7,17,-9,15,-8,15,-8,14,-6,14,-8,15,-7,14,-8,14,-6,13,-7,14,-8,12,-8,0,0,13,-9,13,-9,12,-9,11,-10,12,-7,11,-10,12,-10,10,-9,10,-10,9,-10,8,-10,10,-9,9,-9,8,-10,8,-11,7,-11,8,-12,6,-10,6,-12,4,-12,6,-12,6,-12,6,-12,4,-12,6,-12,5,-12,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-15,10,-16,10,-15,10,-17,9,-16,8,-16,7,-16,8,-16,7,-16,7,-17,5,-18,5,-18,5,-17,4,-17,4,-16,3,-17,6,-16,5,-16,5,-15,3,-15,4,-15,4,-16,4,-14,2,-14,3,-15,3,-13,4,0,0,-14,5,-14,6,-13,6,-13,6,-12,4,-12,6,-13,6,-11,6,-12,7,-10,7,-11,7,-11,6,-11,7,-9,8,-10,7,-8,8,-10,9,-8,8,-8,9,-7,9,-8,9,-8,8,-7,9,-7,9,-8,9,-6,9,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-18,2,-18,2,-19,2,-19,1,-19,0,-17,-1,-17,0,-17,-1,-18,-2,-18,-3,-19,-3,-18,-3,-17,-4,-18,-5,-16,-5,-18,-3,-16,-3,-16,-4,-15,-4,-15,-3,-15,-3,-16,-4,-14,-5,-15,-3,-16,-4,-14,-3,0,0,-15,-1,-14,-2,-15,-1,-14,-1,-13,-2,-14,-1,-15,-1,-13,-1,-14,1,-12,1,-13,2,-13,0,-13,1,-12,2,-13,1,-12,3,-13,3,-11,4,-11,4,-10,4,-12,4,-12,3,-12,4,-11,6,-12,4,-11,5,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-2,-20,-2,-20,-2,-21,-1,-22,1,-20,1,-20,0,-19,1,-19,2,-20,3,-19,4,-20,4,-20,4,-19,4,-19,4,-17,3,-20,4,-17,4,-16,4,-16,3,-16,3,-16,3,-17,4,-15,4,-16,4,-17,2,-16,0,0,1,-16,1,-16,-1,-16,0,-16,1,-15,0,-15,0,-15,0,-15,-1,-15,-2,-13,-2,-14,-1,-13,-1,-14,-3,-13,-3,-14,-4,-13,-4,-14,-5,-13,-4,-12,-6,-12,-5,-13,-5,-12,-6,-13,-6,-13,-5,-14,-6,-12,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-20,4,-21,4,-21,3,-22,3,-21,2,-19,1,-20,2,-20,2,-21,1,-19,-1,-20,-2,-21,-2,-20,-3,-20,-4,-19,-3,-21,-1,-19,-2,-17,-2,-17,-2,-17,-1,-17,-2,-17,-1,-16,-3,-16,-3,-18,-3,-16,-1,0,0,-17,0,-17,1,-16,0,-16,1,-15,0,-16,1,-16,2,-15,2,-13,3,-12,3,-14,2,-14,1,-14,2,-14,3,-14,3,-13,6,-14,5,-11,5,-12,6,-11,6,-12,6,-13,6,-13,6,-11,6,-12,6,-11,6,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-18,7,-17,6,-18,7,-19,5,-19,5,-17,4,-17,4,-17,3,-18,3,-18,1,-19,2,-19,1,-18,1,-18,0,-17,0,-19,1,-16,1,-16,1,-15,0,-15,0,-16,0,-15,0,-16,-1,-15,1,-16,1,-15,1,0,0,-15,2,-15,2,-14,3,-14,4,-13,2,-14,3,-15,3,-13,3,-14,4,-12,5,-12,5,-12,4,-13,5,-11,6,-12,5,-11,6,-12,7,-10,6,-10,7,-9,7,-10,7,-10,7,-10,7,-10,8,-10,7,-9,8,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-8,-6,-8,-6,-8,-6,-8,-7,-8,-7,-7,-7,-6,-7,-7,-7,-6,-8,-5,-7,-5,-7,-6,-8,-6,-8,-5,-8,-5,-8,-6,-8,-5,-7,-5,-7,-5,-7,-4,-7,-5,-7,-5,-7,-4,-6,-4,-7,-5,-7,-5,-7,0,0,-5,-6,-5,-6,-5,-6,-5,-5,-5,-6,-6,-6,-5,-6,-5,-6,-6,-5,-6,-4,-6,-4,-5,-4,-5,-4,-6,-4,-5,-5,-6,-4,-7,-3,-4,-4,-5,-3,-5,-2,-5,-3,-6,-3,-7,-2,-5,-2,-6,-3,-6,-2,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,7,-19,8,-18,9,-19,10,-18,11,-18,11,-16,11,-16,11,-15,12,-15,13,-15,13,-16,14,-17,13,-14,14,-14,13,-12,14,-15,13,-12,13,-12,12,-11,13,-11,12,-11,13,-12,12,-10,11,-11,13,-12,11,-12,0,0,11,-12,10,-12,10,-12,9,-13,10,-11,10,-12,10,-12,8,-11,9,-15,7,-14,6,-12,7,-11,7,-11,5,-12,6,-11,6,-12,6,-14,4,-13,6,-12,2,-11,3,-14,3,-11,2,-12,2,-13,7,-14,0,-14,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,16,-7,16,-6,18,-7,18,-5,18,-5,16,-4,17,-4,17,-3,18,-3,18,-1,18,-2,19,-2,17,-1,18,0,16,0,18,-1,15,-1,16,-1,14,0,14,-1,15,0,15,-1,14,0,14,0,16,0,14,-2,0,0,14,-3,14,-2,14,-3,13,-4,13,-1,13,-3,14,-3,12,-3,13,-4,12,-5,12,-5,11,-3,12,-4,11,-4,11,-5,10,-6,12,-6,9,-6,10,-7,8,-8,10,-7,10,-7,10,-7,9,-8,10,-6,8,-8,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,1,19,1,17,2,19,-1,19,-1,19,-2,17,-1,17,-2,17,-2,17,-4,17,-4,18,-4,18,-4,17,-5,17,-5,15,-4,18,-4,15,-5,15,-4,13,-4,14,-4,15,-3,15,-5,14,-4,14,-5,15,-3,14,0,0,-3,14,-2,15,-1,14,-2,14,-3,12,-2,14,-2,14,-1,13,-1,13,0,12,0,13,0,12,0,12,2,11,0,12,2,12,2,13,3,10,3,11,4,10,2,12,3,11,4,11,4,10,3,11,4,10,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-5,-20,-6,-20,-5,-21,-4,-23,-4,-21,-2,-19,-2,-20,-2,-20,-1,-21,1,-20,1,-21,2,-21,2,-20,2,-20,2,-19,1,-21,2,-18,2,-17,2,-17,1,-17,1,-17,1,-18,3,-16,2,-17,2,-18,1,-17,0,0,1,-18,0,-16,0,-17,-1,-16,1,-15,-1,-16,-1,-16,-1,-15,-1,-16,-2,-14,-2,-14,-1,-14,-2,-15,-3,-14,-2,-14,-4,-14,-4,-15,-5,-12,-6,-12,-5,-12,-5,-13,-6,-13,-5,-13,-7,-12,-5,-13,-6,-12,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,19,-4,19,-3,20,-3,21,-2,20,-1,18,-1,20,-1,19,0,21,1,20,3,20,2,20,3,19,2,19,3,17,4,19,2,17,3,17,3,16,3,17,3,17,4,17,2,15,4,15,2,17,3,16,1,0,0,16,1,16,1,16,0,15,-1,14,1,15,-1,15,-1,15,-2,14,-2,13,-3,14,-3,13,-1,14,-2,13,-3,13,-3,12,-5,14,-5,11,-5,12,-5,10,-6,12,-5,12,-6,12,-6,11,-7,12,-6,10,-7,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-21,-6,-19,-7,-21,-7,-20,-8,-21,-9,-17,-9,-18,-9,-17,-9,-18,-10,-17,-12,-17,-12,-18,-12,-16,-12,-16,-13,-15,-12,-18,-12,-14,-11,-15,-12,-14,-11,-14,-11,-13,-11,-15,-11,-13,-11,-13,-10,-15,-12,-14,-9,0,0,-15,-10,-14,-9,-14,-8,-14,-7,-12,-9,-14,-8,-15,-9,-14,-8,-14,-7,-14,-6,-14,-5,-13,-6,-14,-6,-13,-5,-13,-6,-13,-4,-16,-4,-13,-3,-13,-2,-12,-1,-14,-3,-13,-3,-15,-3,-14,-1,-14,-2,-13,-1,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,11,14,10,14,11,15,10,16,10,15,8,14,8,15,7,15,7,16,6,16,6,17,6,17,5,17,4,17,4,16,7,17,4,15,4,15,4,14,4,13,4,15,5,14,3,13,4,14,4,15,4,13,0,0,5,13,6,13,6,13,6,12,4,12,6,11,6,12,6,12,7,12,7,10,6,11,5,11,7,10,7,10,7,9,8,8,8,10,7,8,8,7,8,6,8,8,8,8,9,7,9,6,8,8,9,6,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-15,11,-15,11,-15,11,-16,11,-16,10,-16,8,-16,8,-16,7,-16,8,-17,5,-17,6,-19,6,-17,5,-17,3,-16,3,-18,6,-16,5,-15,4,-15,4,-15,4,-15,4,-16,4,-15,3,-14,4,-16,4,-15,5,0,0,-14,5,-13,6,-13,6,-13,6,-13,4,-13,6,-14,6,-12,5,-12,6,-11,7,-11,8,-11,5,-11,6,-10,7,-10,7,-10,8,-10,8,-8,7,-8,8,-7,8,-9,8,-9,8,-9,8,-7,9,-8,8,-7,9,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-20,2,-20,2,-21,1,-21,0,-21,-1,-19,-1,-20,-1,-19,-1,-20,-2,-19,-4,-20,-5,-20,-5,-19,-5,-19,-6,-18,-6,-20,-5,-17,-4,-17,-5,-16,-5,-16,-5,-17,-4,-17,-4,-15,-5,-16,-5,-18,-6,-16,-3,0,0,-16,-3,-16,-3,-16,-2,-16,-2,-15,-4,-16,-2,-16,-2,-15,-2,-16,-1,-14,0,-15,0,-14,-2,-15,-1,-14,0,-14,0,-14,2,-15,1,-12,2,-13,2,-11,3,-13,2,-14,2,-13,3,-13,4,-13,2,-13,3,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-12,-13,-12,-13,-13,-14,-12,-17,-11,-15,-8,-14,-10,-15,-9,-14,-8,-15,-7,-15,-8,-17,-9,-17,-8,-16,-6,-17,-5,-15,-7,-17,-6,-15,-5,-14,-5,-14,-5,-13,-6,-13,-5,-14,-3,-13,-5,-14,-5,-16,-6,-13,0,0,-6,-14,-7,-13,-7,-14,-6,-13,-5,-13,-7,-12,-7,-13,-7,-11,-7,-12,-8,-10,-8,-11,-6,-11,-7,-11,-8,-10,-7,-11,-9,-10,-9,-11,-8,-9,-9,-9,-9,-7,-9,-9,-10,-9,-9,-8,-11,-8,-9,-10,-9,-8,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-18,-5,-17,-5,-19,-5,-19,-8,-17,-8,-15,-8,-16,-8,-14,-8,-15,-8,-14,-10,-16,-11,-16,-10,-15,-10,-14,-11,-11,-11,-15,-10,-13,-10,-11,-10,-11,-10,-11,-8,-12,-10,-12,-10,-9,-10,-12,-10,-13,-10,-12,-8,0,0,-13,-9,-13,-7,-14,-8,-13,-7,-12,-9,-13,-7,-13,-7,-12,-7,-13,-6,-12,-4,-13,-4,-11,-5,-12,-5,-12,-4,-12,-4,-13,-3,-14,-4,-12,-2,-12,-2,-11,-1,-12,-2,-12,-2,-13,-2,-13,-1,-12,-2,-12,-1,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,3,15,2,13,3,17,1,17,0,16,-1,13,-1,16,-1,15,-2,14,-3,14,-2,16,-2,16,-3,15,-3,14,-4,12,-3,15,-3,13,-4,12,-4,12,-3,11,-3,12,-3,12,-4,11,-3,12,-3,13,-2,12,0,0,-2,12,-1,12,-1,12,-1,12,-3,10,-1,11,-1,12,-1,10,0,11,1,10,1,11,0,10,1,10,2,10,2,10,2,10,2,12,3,9,2,9,4,9,3,10,3,10,4,10,4,9,2,10,4,9,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,17,3,16,3,17,4,18,6,16,6,14,6,16,6,14,6,14,6,13,8,15,9,15,9,14,9,13,10,12,8,14,9,13,8,11,9,11,8,11,7,11,8,11,7,10,8,11,8,12,8,12,7,0,0,12,6,12,6,13,6,11,4,11,6,11,4,12,5,10,4,12,4,10,2,11,3,10,4,11,3,11,2,11,3,12,1,13,2,11,0,11,0,11,-2,11,0,11,-1,12,0,11,-1,12,1,11,-1,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,7,18,8,16,8,18,7,21,6,19,3,17,5,18,5,17,5,17,3,18,1,20,2,20,2,19,0,19,0,15,1,19,0,17,-1,16,0,16,1,14,1,16,1,16,-1,14,0,15,0,18,1,14,0,0,1,15,2,15,3,16,3,15,1,13,3,14,4,15,4,13,4,14,5,11,4,14,2,12,3,12,7,13,4,13,7,12,7,11,3,11,8,13,10,9,7,14,8,12,9,9,7,10,6,11,7,10,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,18,5,18,4,19,6,20,8,18,7,15,7,18,6,16,6,17,7,15,9,17,10,17,10,16,10,15,11,13,10,16,10,13,9,12,10,13,9,12,9,13,8,14,8,11,9,12,9,14,9,13,7,0,0,13,7,14,6,14,7,12,6,11,7,14,4,13,6,13,4,16,3,14,2,14,3,11,4,13,4,13,2,12,3,13,1,15,2,12,-1,13,0,12,-3,13,-1,14,-1,13,-1,13,-2,13,1,12,-1,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-20,-4,-19,-5,-21,-6,-22,-8,-19,-7,-17,-8,-19,-8,-17,-7,-18,-8,-17,-10,-19,-10,-18,-10,-18,-10,-17,-11,-14,-10,-18,-10,-15,-10,-14,-10,-14,-9,-13,-9,-14,-9,-15,-9,-13,-10,-14,-9,-15,-10,-14,-8,0,0,-15,-8,-15,-7,-15,-7,-14,-6,-13,-8,-15,-6,-15,-6,-14,-6,-15,-5,-13,-2,-15,-3,-13,-5,-14,-3,-14,-2,-14,-3,-15,-1,-16,-2,-13,0,-14,0,-13,2,-14,-1,-15,0,-15,1,-15,2,-14,0,-14,1,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-14,7,-14,7,-16,8,-17,6,-16,6,-14,4,-15,5,-14,4,-14,5,-16,2,-17,3,-17,3,-16,2,-16,1,-14,1,-16,3,-14,2,-14,1,-13,1,-13,1,-13,2,-13,2,-12,0,-13,1,-14,1,-12,2,0,0,-13,3,-12,4,-13,4,-11,4,-12,2,-11,4,-12,4,-10,4,-11,5,-9,5,-10,5,-10,4,-10,5,-9,5,-9,6,-8,7,-11,7,-8,6,-8,7,-6,7,-8,7,-8,7,-9,7,-8,8,-8,7,-7,7,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-15,12,-14,12,-16,14,-19,12,-17,11,-17,9,-16,11,-16,10,-16,10,-18,6,-20,7,-19,8,-18,7,-19,5,-16,4,-19,8,-17,7,-16,5,-16,4,-14,5,-15,5,-16,6,-15,4,-15,4,-17,4,-15,6,0,0,-15,7,-14,7,-16,8,-12,7,-14,5,-13,7,-13,7,-12,7,-13,8,-10,9,-11,8,-12,6,-11,7,-10,9,-10,8,-9,10,-12,11,-9,9,-8,11,-7,10,-9,10,-8,11,-9,10,-9,11,-10,10,-8,10,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,11,13,10,12,12,14,11,17,10,14,7,13,10,14,8,13,9,13,6,14,7,17,7,16,6,16,5,16,4,13,7,16,5,13,4,13,5,13,5,12,5,12,6,12,3,12,4,13,5,14,5,12,0,0,7,12,7,11,8,12,7,10,5,11,8,10,8,10,8,8,8,11,10,5,9,9,7,8,7,8,9,7,8,7,10,6,11,8,9,6,10,5,10,4,10,5,10,5,11,5,11,5,9,6,10,4,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-10,17,-9,17,-11,18,-14,18,-12,15,-12,13,-13,15,-12,13,-13,13,-14,12,-15,14,-15,14,-15,12,-16,12,-13,9,-15,13,-14,12,-13,10,-14,10,-12,9,-13,9,-13,10,-12,8,-13,9,-14,11,-12,11,0,0,-12,11,-11,11,-11,12,-9,11,-11,9,-10,10,-10,11,-9,10,-9,11,-6,11,-8,13,-8,10,-8,11,-7,12,-7,11,-5,12,-7,14,-3,12,-5,13,-2,12,-5,13,-5,12,-5,13,-4,14,-4,12,-3,12,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,13,-12,12,-12,14,-13,16,-12,14,-11,14,-9,14,-9,14,-9,14,-9,15,-7,16,-8,16,-8,15,-7,16,-6,14,-5,15,-8,14,-6,14,-5,13,-5,12,-5,13,-6,13,-6,12,-4,13,-5,14,-5,13,-6,0,0,13,-7,11,-8,12,-8,10,-8,11,-6,11,-8,11,-8,9,-8,9,-9,8,-8,8,-10,9,-8,9,-8,8,-9,8,-9,7,-11,10,-11,6,-11,6,-11,4,-11,6,-11,6,-11,6,-11,5,-11,7,-11,4,-10,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-11,-14,-12,-13,-13,-15,-11,-17,-10,-16,-8,-14,-9,-16,-8,-15,-8,-15,-6,-16,-6,-18,-7,-18,-6,-16,-5,-17,-3,-15,-7,-18,-5,-15,-3,-15,-4,-14,-4,-13,-4,-14,-4,-15,-2,-13,-3,-14,-4,-16,-5,-14,0,0,-5,-14,-7,-13,-7,-13,-7,-13,-4,-13,-6,-12,-6,-13,-6,-12,-6,-12,-8,-9,-7,-11,-5,-11,-6,-11,-8,-10,-8,-10,-9,-9,-9,-12,-8,-9,-9,-9,-10,-8,-9,-9,-9,-9,-10,-10,-11,-9,-9,-10,-10,-8,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-16,-8,-15,-9,-17,-10,-17,-12,-15,-11,-12,-11,-14,-11,-14,-11,-12,-11,-13,-13,-13,-14,-13,-13,-12,-13,-11,-14,-9,-12,-13,-14,-10,-12,-9,-12,-9,-12,-9,-10,-10,-11,-10,-12,-8,-11,-9,-12,-10,-13,-10,-10,0,0,-11,-10,-11,-9,-12,-10,-11,-8,-9,-10,-11,-9,-12,-9,-10,-8,-11,-8,-11,-6,-12,-6,-10,-7,-11,-7,-11,-6,-12,-6,-12,-4,-14,-6,-11,-4,-12,-4,-12,-1,-12,-4,-13,-3,-14,-3,-13,-3,-12,-4,-12,-2,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-3,17,-3,16,-3,18,-6,19,-6,16,-6,15,-7,16,-6,15,-7,15,-8,14,-8,16,-8,16,-9,15,-9,14,-8,12,-10,15,-8,13,-8,12,-9,11,-8,11,-8,12,-8,11,-9,10,-8,11,-9,13,-7,12,0,0,-7,12,-6,12,-7,13,-5,12,-7,10,-6,12,-6,12,-5,11,-5,13,-2,11,-3,12,-4,11,-4,12,-2,11,-2,11,-1,12,-2,13,0,11,-1,12,1,11,-1,12,-1,12,-1,12,0,12,-1,12,1,12,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,6,-17,6,-17,6,-18,9,-18,8,-16,8,-14,8,-16,9,-15,8,-15,10,-13,12,-14,11,-14,11,-14,11,-12,10,-10,11,-15,10,-12,10,-11,10,-10,9,-11,9,-11,9,-11,10,-9,10,-10,11,-11,9,-11,0,0,9,-11,7,-12,7,-12,7,-12,8,-10,6,-12,7,-12,6,-11,6,-12,3,-12,5,-12,6,-10,5,-11,3,-11,4,-12,2,-12,4,-14,2,-12,2,-13,-1,-12,2,-13,1,-12,2,-13,1,-13,3,-13,1,-13,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-6,16,-5,15,-6,17,-8,17,-9,16,-8,13,-8,15,-8,14,-8,14,-10,13,-12,14,-12,14,-11,13,-12,12,-10,10,-11,15,-10,11,-11,11,-10,10,-9,10,-10,10,-9,11,-11,8,-10,9,-11,11,-9,10,0,0,-9,11,-8,11,-9,12,-8,12,-9,9,-7,11,-7,12,-6,10,-8,13,-6,11,-6,12,-7,9,-6,10,-4,11,-4,11,-3,12,-5,13,-2,10,-2,12,0,10,-3,12,-2,12,-2,12,-2,12,-4,12,-1,11,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-11,-15,-11,-14,-12,-15,-10,-18,-9,-16,-7,-16,-9,-16,-8,-15,-8,-15,-6,-16,-6,-18,-7,-18,-6,-17,-5,-17,-4,-15,-6,-18,-5,-15,-4,-14,-4,-14,-5,-13,-5,-14,-5,-14,-2,-13,-3,-14,-4,-16,-5,-14,0,0,-5,-14,-6,-13,-7,-14,-6,-12,-5,-13,-7,-12,-7,-13,-7,-11,-7,-12,-8,-9,-8,-11,-7,-11,-7,-11,-8,-9,-7,-10,-10,-10,-10,-11,-9,-8,-10,-8,-10,-6,-10,-9,-10,-9,-11,-8,-11,-9,-10,-9,-10,-8,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,-11,14,-10,13,-11,15,-14,14,-12,12,-12,10,-13,12,-12,11,-13,11,-14,9,-16,10,-15,10,-15,9,-15,8,-13,6,-16,10,-13,8,-13,7,-13,6,-12,7,-12,7,-13,7,-13,5,-12,6,-14,7,-12,7,0,0,-12,7,-11,8,-11,9,-10,8,-11,6,-11,8,-11,9,-10,7,-10,9,-7,9,-9,9,-9,7,-9,8,-8,9,-8,9,-6,10,-9,11,-6,9,-6,10,-5,10,-6,10,-7,10,-6,11,-6,11,-7,10,-5,10,0,0,0,0,0,0,0,0,0,0,1
110,96,6,0,0,0,0,0,0,0,0,0,7,-18,7,-18,7,-20,11,-20,10,-17,10,-16,10,-17,9,-16,10,-16,11,-14,13,-16,13,-16,13,-14,14,-13,12,-11,13,-15,11,-12,12,-11,12,-11,11,-11,10,-11,11,-12,11,-9,12,-11,13,-12,10,-12,0,0,11,-12,9,-12,10,-13,8,-13,10,-11,9,-13,9,-13,8,-11,7,-13,5,-13,6,-14,8,-11,7,-12,5,-13,6,-12,4,-14,6,-15,4,-14,3,-14,1,-13,3,-14,3,-14,4,-14,3,-14,5,-13,2,-14,0,0,0,0,0,0,0,0,0,0,1
